24,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
35,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
55,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y
90,Air Europa,\N,UX,AEA,EUROPA,Spain,Y
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
125,Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y
130,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y
137,Air France,\N,AF,AFR,AIRFRANS,France,Y
197,Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,Y
214,Air Berlin,\N,AB,BER,AIR BERLIN,Germany,Y
218,Air India Limited,\N,AI,AIC,AIRINDIA,India,Y
220,Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,Y
241,Air Sahara,\N,S2,RSH,SAHARA,India,Y
321,AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
328,Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y
330,Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
345,Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
410,Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y
462,Astrakhan Airlines,\N,OB,ASZ,AIR ASTRAKHAN,Russia,Y
470,Air Burkina,\N,2J,VBW,BURKINA,Burkina Faso,Y
476,Airlines Of Tasmania,\N,FO,ATM,AIRTAS,Australia,Y
491,Austrian Airlines,\N,OS,AUA,AUSTRIAN,Austria,Y
502,Abu Dhabi Amiri Flight,\N,MO,AUH,SULTAN,United Arab Emirates,Y
596,Alitalia,\N,AZ,AZA,ALITALIA,Italy,Y
690,Air Foyle,\N,GS,UPA,FOYLE,United Kingdom,Y
751,Air China,\N,CA,CCA,AIR CHINA,China,Y
794,Air Algerie,\N,AH,DAH,AIR ALGERIE,Algeria,Y
837,Aer Lingus,\N,EI,EIN,SHAMROCK,Ireland,Y
1006,Air Astana,\N,KC,KZR,ASTANALINE,Kazakhstan,Y
1203,Airlinair,\N,A5,RLA,AIRLINAIR,France,Y
1287,Aircompany Yakutia,\N,R3,SYL,AIR YAKUTIA,Russia,Y
1299,Arkefly,\N,OR,TFL,ARKEFLY,Netherlands,Y
1308,Airlines PNG,\N,CG,TOK,BALUS,Papua New Guinea,Y
1316,AirTran Airways,\N,FL,TRS,CITRUS,United States,Y
1317,Air Transat,\N,TS,TSC,TRANSAT,Canada,Y
1340,Alrosa Mirny Air Enterprise,\N,6R,DRU,MIRNY,Russia,Y
1355,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
